id,name,type,parent_id,region_code,city_code,address,contact,latitude,longitude,created_at,updated_at
00912125-7a4c-453d-9882-989bc72fdb74,울산광역시 북구 보건소,health_center,,ULS,,울산 북구 산업로 1018,052-241-8000,35.5835643558785,129.360727268851,2025-09-21 19:25:46.384918+00,2025-10-16 08:38:17.350545+00
0095017b-a67f-4126-ad1e-49d50079c7b5,삼척시 보건소,health_center,,GAN,,강원특별자치도 삼척시 척주로 76,033-572-4000,37.4436991088355,129.172166174109,2025-09-21 19:25:46.618973+00,2025-10-16 08:37:40.795003+00
01687a5f-2d0d-4a96-b8e3-b128d1017d51,충청북도 옥천군 보건소,health_center,,CHB,,충청북도 옥천군,043-730-2000,,,2025-09-21 19:25:46.663564+00,2025-09-21 19:25:46.663564+00
02e88c55-08ce-46af-a8c0-468d7498b92f,창원시 진해구 보건소,health_center,,GYN,,경남 창원시 진해구 진해대로 1101,055-225-6100,35.1346418037463,128.710389297811,2025-09-21 19:25:46.996595+00,2025-10-16 08:37:57.89318+00
042dbec2-992d-44d7-8d50-441adcdc96a9,춘천시 보건소,health_center,,GAN,,강원특별자치도 춘천시 중앙로 135,033-250-3000,37.875532303557,127.720235023616,2025-09-21 19:25:46.618973+00,2025-10-16 08:37:40.330529+00
04e89730-6943-4ed1-90a0-ac313d075056,부산광역시 사하구 보건소,health_center,,BUS,,부산 사하구 하신중앙로 185,051-220-5701,35.0950851177517,128.961637041027,2025-09-21 19:25:46.006943+00,2025-10-16 08:37:33.891995+00
05016c09-8520-4ab7-bb67-8bdea67ab666,의령군 보건소,health_center,,GYN,,경남 의령군 의령읍 의병로8길 16,055-570-4000,35.3178564565471,128.254799755883,2025-09-21 19:25:46.996595+00,2025-10-16 08:37:59.622812+00
05383418-3033-4c9b-b5c5-60c0d591d575,순창군 보건소,health_center,,JEB,,전북특별자치도 순창군 순창읍 교성로 135,063-650-5000,35.3670826772917,127.144000829162,2025-09-21 19:25:46.811478+00,2025-10-16 08:38:05.26579+00
05dff46f-5da2-4c19-bd08-56b0e93d2af2,사천시 보건소,health_center,,GYN,,경남 사천시 용현면 시청로 77-1,055-831-3000,35.0045146292615,128.064096369336,2025-09-21 19:25:46.996595+00,2025-10-16 08:37:58.159661+00
0748fb5c-b166-45ec-a969-57cf012a08e5,부산광역시 북구 보건소,health_center,,BUS,,부산 북구 금곡대로 348,051-309-4500,35.2392503645405,129.014776044459,2025-09-21 19:25:46.006943+00,2025-10-16 08:37:33.707026+00
